09-11 p:  pppppppppxblp
17-19 z:  zzzzvzzzzzdzzzzzzzg
02-04 x:  kxxxxxm
02-11 w:  gwwzpwwwwwplrqfh
06-09 t:  qtcttttgf
09-12 g:  gggggggggggsg
03-06 n:  fzmnxb
05-09 x:  pqxxxwdtn
05-06 j:  jjjjjkq
10-12 h:  hhhhhdhhhzhh
01-04 g:  gskgk
03-05 c:  ccccj
01-10 m:  wmxsgmzmrzmrmmmjmmct
05-10 p:  lmpppvptdgpjpwfwpp
02-04 z:  bzgm
06-07 d:  ddzdddj
03-07 r:  gchrfwr
04-07 k:  kkcvkkkkkk
08-12 t:  tpwtttctvtttftpt
11-12 c:  ccccccxcdncbwcc
02-10 p:  jwwxlppppppnpn
09-16 w:  chmwwwwwjwrwjwzjww
01-06 j:  jkqjjbj
05-08 k:  kkkkkklhkk
03-05 q:  qqqqc
16-17 x:  xxxxxxxxxxxxxxxtg
04-09 f:  fmfkcfffffkcfmfhnzf
05-06 z:  zhzzlz
04-17 k:  kbwmwvkkvvhxkkkckqvk
03-05 d:  dddmmdt
04-10 m:  mmmmmmmmms
05-06 g:  ghgggpj
01-05 c:  cccck
03-07 z:  zzjzzzzz
02-07 v:  xrprnvvtsrgsk
01-05 s:  sqqsn
03-05 j:  xwpnj
05-07 v:  vvvvvvqmv
04-05 j:  jjjjzjjjjljjc
02-04 h:  hghh
03-05 n:  fnnpc
16-20 d:  dddddddzdddddddpdddd
03-04 t:  tnpt
02-07 f:  fxffffkff
06-09 b:  bbbhbbwhbbrblmtb
07-10 m:  msmxmrnmrmmmm
03-04 r:  rrzrr
07-08 m:  mgmmmmjmm
02-03 l:  lmll
02-06 h:  cngphhhbfpvvsgrqhhzq
06-08 d:  dddddddg
12-15 p:  vfjxwpcpdvpnjwp
12-17 m:  mzfmmsvfxmqsmcfjmwjb
15-19 b:  bbbbbfbbbbbsbbmbbbbb
07-08 n:  qdnjnnnpvmfnn
06-08 l:  llllllll
03-04 n:  nnbdh
11-12 w:  hprdhfrpvcwbgwjcw
02-07 r:  jrfrbjrhrw
01-06 v:  fvzknvvv
10-11 t:  tttstdhttqrttt
05-14 f:  fxffnffffnfffff
10-13 q:  qqqqqqqqqjqqqqq
01-05 v:  tnvfvxvjvbvjk
04-05 c:  ccccpc
04-06 t:  tttttktttt
01-02 r:  rwrsq
11-12 c:  cccggjcccccr
11-16 g:  gwggggggggqggbgggfg
12-14 b:  bbggzhxsjjsbsf
05-07 r:  kjdwpfbmcptrslrrr
01-02 l:  lvbl
06-11 c:  hsksgzhccbccbdfnzqcv
06-07 m:  gmmmmmc
01-02 h:  hhhh
01-03 g:  rggg
04-08 z:  rzzzzfbwzxkzzz
03-06 w:  wwwwww
03-04 g:  ggwtg
09-11 v:  wxfltmvjvjm
02-04 l:  llck
02-03 m:  mmkgpdwzdm
02-05 d:  bdjhdhjldzh
10-12 j:  jnjlmjjjjpcdkjjjx
03-09 q:  qqzqqqqqqqqqq
04-08 d:  ddzwdpddd
03-07 m:  mzmbsmcjgmpmmdkmr
08-13 q:  xrxvgqdvvmjhhgdfz
03-12 z:  zzjzzzzzzzzzzz
05-10 k:  jkkkmkkkmkk
06-07 m:  mmllmmtm
17-19 c:  ccccccccccccccnckccc
06-09 w:  wwwtbrwwwxww
07-09 d:  wfdkwddsdsmdbswv
11-12 g:  ggggggggggbgg
13-14 j:  prjjdjjjjjjjcjjj
03-05 j:  jjlljv
03-04 h:  hrlh
06-07 l:  hplnxlsjnwxzllllljcj
04-05 g:  gfgml
04-05 z:  zwkznzn
04-11 n:  stnzhznnfnqcnn
02-05 h:  hmzhh
04-06 w:  wwbwwc
04-11 w:  vmwwrxpkwcp
04-08 t:  thxttstmtbstcvjtlflh
06-08 v:  hvvkvvhfm
16-18 b:  tbbbbbbbbbbbbbbbbr
08-10 f:  fffffffcfl
13-15 r:  rrrdrrrrrrrrrbr
08-14 t:  ztstxttttttttwz
08-12 j:  jgjjjjgjjjjx
05-06 m:  nmqjdmgfqqmcmmvndztl
02-06 v:  vwvvvvtv
15-16 l:  llllllllllllllll
03-10 q:  qqqqqqqqqxqq
08-09 j:  rggxhvjjjk
01-03 p:  pqhp
04-11 z:  nkjddzczjrzktvnckmg
05-12 r:  tfrdrswgwnbc
08-13 r:  rrrrrrrrrrrrrr
13-18 x:  xxmxvxxxxxxxhrxxxc
07-08 z:  zzkzzzzw
04-08 m:  mmmqmmskqlmmgm
01-03 w:  bmwg
01-04 z:  vzzzzzwz
03-04 d:  dqdw
02-09 z:  hzhqpndtllsw
10-13 t:  tttttttttttbjb
12-14 r:  rrrxrrsrrrgfrrr
12-19 g:  hdxnlgglxwrgzkggcwp
03-04 x:  qxjx
01-02 r:  rrpdlqhcnwwr
05-11 c:  vdbzvccdccldsjcq
04-06 k:  kxkwkk
16-18 k:  kkkknkkkkkkkfkkkkx
01-02 q:  tqtghddbk
07-08 g:  ggcgggvgg
13-19 d:  ddddddfjdddddfddddd
09-15 z:  pzhzzzzzqpzzzzzz
04-05 l:  lclld
02-15 r:  jrrmtzrxlczbttrcvkn
03-05 z:  zzzzc
15-16 k:  kkkckkdjnkkkkkkkkk
11-13 m:  mmmmmmmmwmmmzm
08-13 p:  ppdpptppdppxkppppppp
01-03 g:  gszcmgjg
05-11 h:  skbchhdbnphpbfl
04-07 d:  prdjctk
15-18 f:  ffcffffffffffzdffc
07-11 g:  npggtwgzgtgzhx
12-14 m:  mmmmmmmmmmmpmkm
10-11 b:  bbbbbbbbbbb
03-16 k:  kgxtvmlgpkptpghkb
04-06 m:  zcwmzmvqvgmmsxj
06-15 m:  mzmmccmmlmmrmlnl
12-13 x:  xxxxxxxxwxxxz
04-05 d:  mhvdtxfklzdpgdqdpqhd
05-10 g:  nghgggggggqg
07-09 k:  kkkkfkkkwk
06-07 c:  cvcvczncn
10-11 t:  tttqttttttv
18-20 h:  hfsqhkwfhttgfhmbghhx
06-07 v:  vgvvvwz
03-04 z:  zzzj
03-05 d:  dhqjnhgldtdzx
03-04 b:  jbrbbbbbbbblwb
12-15 g:  gsgfdfksrggqvgggjgt
06-11 p:  pmppnpqpdppdpppphpf
13-14 z:  zzzzgzbzzzzzgzz
04-12 c:  ccjcrvcnwccwctcczcp
10-11 c:  szcccfccfpcchqs
10-14 l:  lllllltgjlnlbprlll
12-17 z:  zhzzzxzpzzzfzzzqznz
12-15 l:  llllllllmvlvllfll
07-12 c:  ccccccncccccc
01-05 m:  mhmmzmm
11-17 r:  rrzrrwrrsrcrsmdrvrr
04-05 w:  fwwpwfw
07-08 n:  nnnnnnnk
03-18 n:  rxhzsscgbnmzpvbqmzf
04-11 k:  kkkkkkkkkkkxkkskkkdz
10-11 c:  cccccccccckcccccc
08-15 r:  zrrtfrjrrrrrjrrrrrr
15-16 h:  ghgvlhwgqslhhhhxmp
03-05 f:  ffffqf
03-08 s:  bssmfsgspxssgjhsjdv
03-05 q:  bfdhq
04-07 k:  qknkkkd
06-09 b:  bbbtbnfbbb
12-14 x:  xxxxxxxqxkxvxxwxxcw
03-06 c:  chfckc
03-08 h:  kzkhgrffz
10-16 f:  fffgjfffsvffdzfhfzff
01-03 r:  rgcr
16-17 x:  xxxxxdxxxxxxxxxxl
06-11 j:  rsjcjjcbpchkvfjpml
09-10 s:  sssqvsssjsss
17-18 v:  vvvvvvvvvvvvvvvvvv
03-05 t:  jtmtgtxxhzskzk
01-06 t:  ttqkvdgs
13-16 q:  qqqqqqhqqqqqzqqjqq
10-11 b:  bbbbbvbbbbw
06-07 w:  sgwmqwgwtbrllf
10-11 f:  ffffffftffff
12-13 w:  wwwwwwwwwwwzt
18-19 t:  ttttttttttttttttttt
01-05 h:  zghhr
01-02 v:  dvjnctwvlp
01-02 j:  jhzkzjh
03-06 h:  rhhbhhh
02-04 d:  dddrd
17-18 s:  ssssssssssssssssns
01-08 m:  smmmmmmmm
02-04 s:  dcfsbzwqq
11-12 d:  vnldqthkptgkkfdmtw
08-12 p:  vpppzpprppppp
06-08 q:  jqqqsphqjwrqj
08-10 k:  ktkkkkdkkkk
04-12 v:  nvvwvvvjzvvvv
05-06 z:  zzzzzt
01-05 w:  xwwwwwwww
11-14 p:  pppfbpppkpftdpkpgpp
02-03 v:  zrlv
02-04 f:  fbwff
05-06 s:  ssssmn
11-12 z:  zzwztpzpjzhz
05-06 c:  cccjcc
04-06 v:  vvvgpvcpwv
05-06 j:  jnzcpjnzjjcpsjfps
12-14 m:  tpzwjjgpbbdmgxgphd
13-15 n:  nznnnncnnnnnnnf
08-11 w:  qsxwnlhwwxw
06-09 t:  ltbdttnst
10-12 t:  hnjdfgrhtgkl
02-04 d:  dbddddc
13-14 g:  gggggggbgggmgmgm
04-12 r:  rrrzrgkrrrrkr
14-17 n:  nnhnnnnnnnnnnnnnhnn
